【令和６年７月１日時点】入所児童数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
鶴見区,14101,横浜市馬場保育園,1410051018778,-,6,9,15,17,17,64,2024-07-01,
鶴見区,14101,横浜市鶴見保育園,1410051020006,3,8,12,20,17,21,81,2024-07-01,
鶴見区,14101,横浜市芦穂崎保育園,1410051018760,8,16,20,20,22,24,110,2024-07-01,
鶴見区,14101,横浜市潮田保育園,1410051019990,7,14,18,23,25,23,110,2024-07-01,
鶴見区,14101,北寺尾第二むつみ保育園,1410051019461,6,9,12,13,13,13,66,2024-07-01,
鶴見区,14101,北寺尾むつみ保育園,1410051017879,6,8,9,16,16,15,70,2024-07-01,
鶴見区,14101,ねむの樹　北寺尾保育園,1410051013787,6,8,6,8,8,8,44,2024-07-01,
鶴見区,14101,馬場どろんこ保育園,1410051025542,6,10,12,14,14,12,68,2024-07-01,
鶴見区,14101,ベネッセ菊名保育園,1410051025898,6,10,11,11,11,11,60,2024-07-01,
鶴見区,14101,きくなハート保育園,1410051025872,3,8,10,13,13,13,60,2024-07-01,
鶴見区,14101,駒岡げんきっず保育園,1410051024909,2,9,7,11,10,11,50,2024-07-01,
鶴見区,14101,にじの風保育園,1410051013779,6,8,10,13,15,16,68,2024-07-01,
鶴見区,14101,ＳＡＮＤＡ ＫＩＤ保育園,1410051025864,6,8,10,12,12,12,60,2024-07-01,
鶴見区,14101,にじいろ保育園駒岡四丁目,1410051027100,-,5,7,11,10,6,39,2024-07-01,
鶴見区,14101,駒岡保育園,1410051013688,3,7,11,14,14,14,63,2024-07-01,
鶴見区,14101,明日葉保育園駒岡園,1410051026482,6,10,11,11,11,8,57,2024-07-01,
鶴見区,14101,にじいろ保育園駒岡,1410051026714,-,8,10,13,13,12,56,2024-07-01,
鶴見区,14101,駒岡こども園,1410051018539,4,7,6,6,6,4,33,2024-07-01,
鶴見区,14101,えみ保育園,1410051017861,9,12,15,19,18,19,92,2024-07-01,
鶴見区,14101,上末吉白百合保育園,1410051013670,10,12,11,12,12,12,69,2024-07-01,
鶴見区,14101,末吉いづみ保育園,1410051013704,10,34,35,36,36,36,187,2024-07-01,
鶴見区,14101,鶴見どろんこ保育園,1410051016194,6,16,18,19,20,20,99,2024-07-01,
鶴見区,14101,末吉にこにこ保育園,1410051018547,10,10,10,12,12,12,66,2024-07-01,
鶴見区,14101,保育室ベルファミーユ,1410051025203,0,3,4,-,-,-,7,2024-07-01,
鶴見区,14101,わおわお東寺尾保育園,1410051017937,6,8,12,14,14,14,68,2024-07-01,
鶴見区,14101,東寺尾どろんこ保育園,1410051023737,15,24,25,29,30,26,149,2024-07-01,
鶴見区,14101,フェアリーテイルつばさ,1410051025435,4,12,10,11,11,12,60,2024-07-01,
鶴見区,14101,フェアリーテイルみらい,1410051026706,-,10,11,11,11,12,55,2024-07-01,
鶴見区,14101,總持寺保育園,1410051015105,9,60,54,62,66,69,320,2024-07-01,
鶴見区,14101,ルーチェ保育園　鶴見,1410051019487,6,12,12,11,12,12,65,2024-07-01,
鶴見区,14101,豊岡ひまわり保育園,1410051025377,6,8,10,12,12,12,60,2024-07-01,
鶴見区,14101,みゆさと保育園,1410051025419,5,8,10,12,12,12,59,2024-07-01,
鶴見区,14101,横浜山手モンテッソーリ保育園,1410051025880,3,8,10,10,10,10,51,2024-07-01,
鶴見区,14101,あゆみ保育園　鶴見,1410051024719,5,15,15,17,17,20,89,2024-07-01,
鶴見区,14101,鶴見乳幼児福祉センター保育園,1410051017887,5,20,20,19,22,23,109,2024-07-01,
鶴見区,14101,花園保育園ベビーホーム,1410051017895,2,10,18,15,20,23,88,2024-07-01,
鶴見区,14101,花月園前ここわ保育園,1410051024933,7,12,13,13,14,14,73,2024-07-01,
鶴見区,14101,ヨコハマさくら保育園,1410051019867,9,12,18,16,18,17,90,2024-07-01,
鶴見区,14101,生麦保育園,1410051016251,-,8,17,17,17,17,76,2024-07-01,
鶴見区,14101,生麦ポケット保育園,1410051026078,2,8,10,12,11,11,54,2024-07-01,
鶴見区,14101,スターチャイルド≪生麦ナーサリー≫,1410051026664,0,8,9,11,7,11,46,2024-07-01,
鶴見区,14101,ＳＥＡ　ＫＩＤ保育園,1410051024461,10,15,15,20,19,22,101,2024-07-01,
鶴見区,14101,Ｐ’ｓスマイル保育園,1410051016152,-,8,9,10,11,11,49,2024-07-01,
鶴見区,14101,鶴見ポケット保育園,1410051013738,6,10,10,12,11,12,61,2024-07-01,
鶴見区,14101,Ｊキッズプラネット鶴見保育園,1410051015097,6,8,13,13,15,16,71,2024-07-01,
鶴見区,14101,桑の実鶴見保育園,1410051016160,6,10,10,13,14,13,66,2024-07-01,
鶴見区,14101,ビーンズ保育園,1410051013795,8,12,15,15,20,19,89,2024-07-01,
鶴見区,14101,鶴見あけぼの保育園,1410051016186,6,11,12,10,12,12,63,2024-07-01,
鶴見区,14101,鶴見中央はなかご保育園,1410051024750,-,7,9,10,12,12,50,2024-07-01,
鶴見区,14101,ナーサリーつるみ,1410051013761,1,7,10,20,19,15,72,2024-07-01,
鶴見区,14101,実遊中央保育園,1410051017903,4,6,9,7,8,9,43,2024-07-01,
鶴見区,14101,ポピンズナーサリースクール鶴見,1410051019479,4,8,10,11,12,10,55,2024-07-01,
鶴見区,14101,あーす保育園鶴見中央,1410051026615,-,2,7,8,8,7,32,2024-07-01,
鶴見区,14101,鶴見すずらん保育園,1410051013720,9,16,23,23,23,24,118,2024-07-01,
鶴見区,14101,トライアングル　スマイル,1410051025369,3,4,8,6,9,9,39,2024-07-01,
鶴見区,14101,かもめ保育園,1410051017945,6,12,12,12,11,10,63,2024-07-01,
鶴見区,14101,保育園スカイ・ウイング,1410051026771,6,17,24,23,23,23,116,2024-07-01,
鶴見区,14101,總持寺本町通保育園,1410051015113,8,20,22,30,31,26,137,2024-07-01,
鶴見区,14101,みつる保育園,1410051016236,6,20,20,22,22,22,112,2024-07-01,
鶴見区,14101,みつばち保育園,1410051013803,3,15,16,17,15,18,84,2024-07-01,
鶴見区,14101,入船の森保育園,1410051014645,-,5,8,7,8,6,34,2024-07-01,
鶴見区,14101,東漸保育園,1410051016228,3,12,15,18,17,18,83,2024-07-01,
鶴見区,14101,わくわくの森保育園,1410051013811,3,13,12,13,12,13,66,2024-07-01,
鶴見区,14101,ねむの樹　元宮保育園,1410051019495,-,-,19,21,25,29,94,2024-07-01,
鶴見区,14101,鶴見ルーナ保育園,1410051016202,4,15,18,20,19,20,96,2024-07-01,
鶴見区,14101,太陽の子　尻手保育園,1410051013712,9,14,15,15,10,16,79,2024-07-01,
鶴見区,14101,市場保育園,1410051013662,4,13,22,22,25,26,112,2024-07-01,
鶴見区,14101,わおわお保育園,1410051015345,8,24,27,26,27,25,137,2024-07-01,
鶴見区,14101,ミアヘルサ保育園ひびき矢向,1410051016210,4,12,12,10,12,8,58,2024-07-01,
鶴見区,14101,矢向あけぼの保育園,1410051016244,4,6,9,12,11,9,51,2024-07-01,
鶴見区,14101,明日葉保育園鶴見園,1410051026524,-,10,11,12,11,9,53,2024-07-01,
鶴見区,14101,オハナ鶴見保育園,1410051024735,4,14,16,13,16,18,81,2024-07-01,
鶴見区,14101,市場ポケット保育園,1410051023851,4,8,10,11,11,12,56,2024-07-01,
鶴見区,14101,太陽の子　鶴見市場保育園,1410051023943,6,8,10,13,12,11,60,2024-07-01,
鶴見区,14101,尻手すきっぷ保育園,1410051024313,3,12,12,11,10,12,60,2024-07-01,
鶴見区,14101,横浜矢向雲母保育園,1410051025682,3,3,8,8,6,11,39,2024-07-01,
鶴見区,14101,ぶれすと尻手ほいくえん,1410051024453,5,10,10,14,14,15,68,2024-07-01,
鶴見区,14101,こあらっこはうす　ル・ソレイユ,1410051024149,6,8,10,11,12,10,57,2024-07-01,
鶴見区,14101,ゆめいろ保育園,1410051017929,12,21,22,26,21,22,124,2024-07-01,
鶴見区,14101,Gakkenほいくえん矢向,1410051018521,-,5,8,10,7,11,41,2024-07-01,
鶴見区,14101,矢向保育園,1410051017911,3,10,14,12,12,17,68,2024-07-01,
鶴見区,14101,ベネッセ　矢向保育園,1410051015139,5,9,11,9,9,11,54,2024-07-01,
鶴見区,14101,スターチャイルド≪矢向ナーサリー≫,1410051023513,5,8,9,9,8,8,47,2024-07-01,
鶴見区,14101,新鶴見はなかご保育園,1410051013696,3,12,12,11,12,11,61,2024-07-01,
鶴見区,14101,わおわお江ヶ崎保育園,1410051019453,6,12,12,12,14,14,70,2024-07-01,
鶴見区,14101,木下の保育園　江ヶ崎,1410051024537,2,8,10,14,13,14,61,2024-07-01,
鶴見区,14101,幸いづみ保育園,1410099000001,0,4,3,5,5,5,22,2024-07-01,
鶴見区,14101,認定こども園　若葉幼稚園,1410051023919,-,-,-,0,0,3,3,2024-07-01,
鶴見区,14101,幼保連携型認定こども園　あさひ台幼稚園,1410051025286,-,10,10,10,10,10,50,2024-07-01,
鶴見区,14101,認定こども園　ＹＭＣＡつるみ保育園,1410051025765,4,12,10,11,10,10,57,2024-07-01,
鶴見区,14101,三色えのぐの保育園,1410052003266,2,6,3,-,-,-,11,2024-07-01,
鶴見区,14101,ユニコーン・キッズクラブ,1410052004231,1,4,5,-,-,-,10,2024-07-01,
鶴見区,14101,鶴見ハート保育園,1410052004249,1,3,1,-,-,-,5,2024-07-01,
鶴見区,14101,鶴見Ａｓａ保育園,1410052004751,2,5,4,-,-,-,11,2024-07-01,
鶴見区,14101,ぶれすと尻手ほいくえん附属元宮,1410052005147,4,8,8,-,-,-,20,2024-07-01,
鶴見区,14101,尻手スマイル保育園,1410052004876,3,4,4,-,-,-,11,2024-07-01,
鶴見区,14101,矢向つぼみ保育園,1410052005626,0,8,8,-,-,-,16,2024-07-01,
鶴見区,14101,北寺尾むつみ小規模保育施設,1410052003183,-,4,4,-,-,-,8,2024-07-01,
鶴見区,14101,北寺尾４丁目むつみ小規模保育施設,1410052004942,-,4,4,-,-,-,8,2024-07-01,
鶴見区,14101,フラッフィー小規模保育園,1410052005618,-,5,3,-,-,-,8,2024-07-01,
鶴見区,14101,桑の実馬場保育園,1410052003241,3,8,8,-,-,-,19,2024-07-01,
鶴見区,14101,ひまわりニコニコ保育園,1410052005519,0,7,7,-,-,-,14,2024-07-01,
鶴見区,14101,リュミエール小規模保育園,1410052005139,-,1,5,-,-,-,6,2024-07-01,
鶴見区,14101,ＳＡＩＬ　ＫＩＤ保育園,1410052004769,3,10,6,-,-,-,19,2024-07-01,
鶴見区,14101,鶴見中央ハート保育園,1410052005170,0,7,8,-,-,-,15,2024-07-01,
鶴見区,14101,鶴見ぬくもり保育園,1410052005493,1,3,6,-,-,-,10,2024-07-01,
鶴見区,14101,きらぼし保育園,1410052005121,0,4,5,-,-,-,9,2024-07-01,
鶴見区,14101,おれんじハウス鶴見保育園,1410052005162,2,6,6,-,-,-,14,2024-07-01,
鶴見区,14101,しおつるばしハート保育園,1410052004637,3,4,5,-,-,-,12,2024-07-01,
鶴見区,14101,ひだまりの保育園,1410052005196,1,3,9,-,-,-,13,2024-07-01,
鶴見区,14101,鶴見サンフラワー保育園,1410052005501,2,0,5,-,-,-,7,2024-07-01,
鶴見区,14101,鶴見なのはな保育園,1410052005451,3,3,5,-,-,-,11,2024-07-01,
神奈川区,14102,横浜市西菅田保育園,1410051018802,-,9,12,14,15,13,63,2024-07-01,
神奈川区,14102,保育園こりす,1410051014678,9,16,16,16,16,16,89,2024-07-01,
神奈川区,14102,あおぞら菅田保育園,1410051025260,-,11,12,14,16,16,69,2024-07-01,
神奈川区,14102,羽沢保育園,1410051013886,6,24,25,29,29,29,142,2024-07-01,
神奈川区,14102,アイン三枚町保育園,1410051019511,6,12,15,13,15,15,76,2024-07-01,
神奈川区,14102,コビープリスクールかたくら,1410051025484,3,9,10,12,13,13,60,2024-07-01,
神奈川区,14102,Gakkenほいくえん片倉,1410051019503,6,8,10,12,12,12,60,2024-07-01,
神奈川区,14102,空と杜の保育園かんだいじ,1410051027464,2,8,10,12,6,9,47,2024-07-01,
神奈川区,14102,あおぞら保育園,1410051017978,7,21,21,21,22,21,113,2024-07-01,
神奈川区,14102,ポピンズナーサリースクール片倉町,1410051019222,7,10,10,10,10,11,58,2024-07-01,
神奈川区,14102,横浜市神大寺保育園,1410051018794,-,7,8,12,13,15,55,2024-07-01,
神奈川区,14102,ポピンズナーサリースクール片倉町駅前,1410051026722,-,8,9,11,10,11,49,2024-07-01,
神奈川区,14102,スターチャイルド≪片倉町ナーサリー≫,1410051027936,-,10,11,8,0,0,29,2024-07-01,
神奈川区,14102,こころキッズ,1410051026607,-,9,9,16,15,16,65,2024-07-01,
神奈川区,14102,スターチャイルド≪三ッ沢上町ナーサリー≫,1410051024958,6,8,10,12,12,13,61,2024-07-01,
神奈川区,14102,三ツ沢保育園,1410051025195,-,2,7,9,8,7,33,2024-07-01,
神奈川区,14102,フレール保育園,1410051024156,3,8,8,10,10,7,46,2024-07-01,
神奈川区,14102,いずみ松本町保育園,1410051023745,9,26,28,29,30,30,152,2024-07-01,
神奈川区,14102,アイン松本町保育園,1410051017952,6,11,13,12,15,14,71,2024-07-01,
