緯度,経度
35.507859,139.651384
35.512355,139.679167
35.511168,139.681496
35.503804,139.691669
35.51741,139.658105
35.513078,139.65502
35.512367,139.647112
35.506676,139.646787
35.508462,139.639833
35.51465,139.63851
35.523999,139.655524
35.528348,139.647472
35.52587,139.652414
35.532871,139.655129
35.534905,139.659508
35.532824,139.651156
35.533934,139.652033
35.534587,139.6525
35.521933,139.644987
35.529084,139.66895
35.524179,139.673847
35.521285,139.666319
35.518794,139.671268
35.50494,139.648089
35.504782,139.657648
35.501372,139.652923
35.511029,139.672268
35.510794,139.673009
35.508021,139.669345
35.508254,139.673619
35.512518,139.674325
35.513463,139.673739
35.512808,139.672774
35.513193,139.677124
35.502128,139.671797
35.499262,139.672933
35.499893,139.674495
35.49733,139.669655
35.495106,139.671636
35.494624,139.667192
35.49413,139.665859
35.497046,139.665909
35.508079,139.676851
35.509081,139.677553
35.506058,139.676506
35.508492,139.678733
35.494365,139.680332
35.510023,139.67825
35.510726,139.677932
35.511788,139.678012
35.512614,139.680468
35.510453,139.680729
35.510405,139.68218
35.509521,139.683483
35.508456,139.679595
43.14861,141.140961
35.503844,139.677823
35.502524,139.680397
35.499546,139.685556
36.659402,138.301747
35.502128,139.671797
35.511656,139.689827
36.3939,140.419413
35.521219,139.678296
35.5247,139.686838
35.529515,139.684306
35.523704,139.683372
35.527746,139.676326
35.529748,139.673929
35.528792,139.678456
35.514859,139.68245
35.516346,139.681776
35.517218,139.686484
35.516932,139.687025
35.533358,139.683596
35.534189,139.683798
35.52656,139.686142
35.531201,139.679195
35.885763,139.624167
35.534708,139.681664
35.539674,139.682508
35.535436,139.683487
35.539065,139.678209
35.537179,139.673235
35.535565,139.672042
35.536844,139.673928
35.53529,139.686899
35.186758,138.690999
35.520405,139.664966
35.508343,139.695052
35.513768,139.686333
35.517029,139.68699
35.509362,139.677201
35.517809,139.687862
35.521655,139.682214
35.53094,139.681691
35.531219,139.683113
35.513003,139.654792
35.514826,139.656952
35.494365,139.680332
35.506696,139.643381
35.531861,139.652508
34.433994,132.464597
35.497737,139.661868
35.509362,139.677201
35.508951,139.679246
34.73496,135.563183
35.505945,139.677547
35.506919,139.682522
35.801759,139.615473
35.504971,139.67836
35.501477,139.676115
35.497093,139.575766
35.500818,139.587492
35.501675,139.590592
35.488566,139.586452
35.497216,139.606263
35.489435,139.605732
35.487481,139.605076
35.481889,139.609225
36.350375,137.866628
35.490524,139.607674
35.481889,139.609225
35.490524,139.607674
35.492483,139.608847
35.493016,139.610976
35.476176,139.602765
35.476691,139.608546
35.574501,139.559183
35.477611,139.6188
35.476538,139.620713
35.474059,139.621586
35.470578,139.620929
35.47306,139.625666
35.474874,139.62937
35.482232,137.505762
35.474913,139.633534
32.791606,130.775154
35.477747,139.634294
35.478123,139.637069
35.477244,139.629728
35.477978,139.632783
35.477273,139.628093
35.479334,139.62907
35.483941,139.629549
35.486296,139.623226
35.487302,139.622816
35.488333,139.62364
35.49033,139.620184
35.489247,139.626292
35.494634,139.619931
35.490042,139.627792
35.487407,139.628623
35.49233,139.631821
35.84487,139.655507
