施設・事業名,緯度,経度
横浜市馬場保育園,35.507859,139.651384
横浜市鶴見保育園,35.512355,139.679167
横浜市芦穂崎保育園,35.511168,139.681496
横浜市潮田保育園,35.503807,139.691736
北寺尾第二むつみ保育園,35.51741,139.658105
北寺尾むつみ保育園,35.513078,139.65502
ねむの樹　北寺尾保育園,35.512367,139.647112
馬場どろんこ保育園,35.506676,139.646787
ベネッセ菊名保育園,35.508462,139.639833
きくなハート保育園,35.51465,139.63851
駒岡げんきっず保育園,35.523999,139.655524
にじの風保育園,35.528348,139.647472
ＳＡＮＤＡ ＫＩＤ保育園,35.52587,139.652414
にじいろ保育園駒岡四丁目,35.532871,139.655129
駒岡保育園,35.534905,139.659508
明日葉保育園駒岡園,35.532824,139.651156
にじいろ保育園駒岡,35.533934,139.652033
駒岡こども園,35.534587,139.6525
えみ保育園,35.521933,139.644987
上末吉白百合保育園,35.529084,139.66895
末吉いづみ保育園,35.524179,139.673847
鶴見どろんこ保育園,35.521285,139.666319
末吉にこにこ保育園,35.518794,139.671268
保育室ベルファミーユ,35.50494,139.648089
わおわお東寺尾保育園,35.504782,139.657648
東寺尾どろんこ保育園,35.501372,139.652923
フェアリーテイルつばさ,35.511029,139.672268
フェアリーテイルみらい,35.510794,139.673009
總持寺保育園,35.508021,139.669345
ルーチェ保育園　鶴見,35.508254,139.673619
豊岡ひまわり保育園,35.512518,139.674325
みゆさと保育園,35.513463,139.673739
横浜山手モンテッソーリ保育園,35.512808,139.672774
あゆみ保育園　鶴見,35.513193,139.677124
鶴見乳幼児福祉センター保育園,35.502128,139.671797
花園保育園ベビーホーム,35.499262,139.672933
花月園前ここわ保育園,35.499893,139.674495
ヨコハマさくら保育園,35.49733,139.669655
生麦保育園,35.495106,139.671636
生麦ポケット保育園,35.494624,139.667192
スターチャイルド≪生麦ナーサリー≫,35.49413,139.665859
ＳＥＡ　ＫＩＤ保育園,35.497046,139.665909
Ｐ’ｓスマイル保育園,35.508079,139.676851
鶴見ポケット保育園,35.509081,139.677553
Ｊキッズプラネット鶴見保育園,35.506058,139.676506
桑の実鶴見保育園,35.508492,139.678733
ビーンズ保育園,35.494365,139.680332
